Name,ID
Shire (a county) - Kotar,1
Baggins - Torbar,1
Bag End - Torbarevo,1
Strider (stride - to walk with long steps) - Velehod,1
"Rivendell (​riven - divided into two or more pieces, dell - a small valley with trees growing in or around it) - Razdol",1
Bagshot Row - Torbaruški red,1
Daddy Twofoot - Tatica Dvostopac,2
Undertowers - Potkule,2
Banks - Sprud,2
Tunelly - Bušilo,1
White-socks - Gaćan,1
Brandywine - Bevanda,1
Brandy Hall - Dvor na Bevandi,1
Harfoots - Dlakonozi,2
"Thistlewool (thistle - a wild plant with leaves with sharp points and purple, yellow or white flowers) - Čičak",2
Loudwater - Glasnovoda,2
Hardbottle (Old English botl - dwelling) - Tvrdokuće,1
Butterbur (a plant with broad leaves and purplish flowers) - Maslovar,2
Cracks of Doom - Napukline kobi,1
Wise-nose - Mudronosi,2
Shire (a county) - Shire,2
Baggins - Baggins,2
Bag End - Vrećasti vijenac,2
Bagshot Row - Vrećopucova ulica,2
Daddy Twofoot - Tatica Nogoparac,1
"Thistlewool (thistle - a wild plant with leaves with sharp points and purple, yellow or white flowers) - Čičkovina",1
Tunelly - Tunelski,2
Strider (stride - to walk with long steps) - Strider,2
Undertowers -  Podturen,1
Brandywine - Brandywine,2
Brandy Hall - Brandy Hall,2
Harfoots - Nogodlaci,1
Banks - Padinar,1
"Rivendell (​riven - divided into two or more pieces, dell - a small valley with trees growing in or around it) - Rivendell",2
Loudwater - Orljavina,1
Butterbur (a plant with broad leaves and purplish flowers) - Lopuh,1
White-socks - Lakonogi,2
Hardbottle (Old English botl - dwelling) - Hardbottle,2
Wise-nose - Njuškalo,1
Cracks of Doom - Napukline usuda,2